YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,TAIL_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,TAXI_OUT,WHEELS_OFF,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,WHEELS_ON,TAXI_IN,SCHEDULED_ARRIVAL,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,AS,98,NULL,ANC,SEA,0005,NULL,NULL,NULL,NULL,205,194,169,1448,NULL,NULL,0430,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AA,2336,NULL,LAX,PBI,0010,NULL,NULL,NULL,NULL,280,279,263,2330,NULL,NULL,0750,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,US,840,NULL,SFO,CLT,0020,NULL,NULL,NULL,NULL,286,293,266,2296,NULL,NULL,0806,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AA,258,NULL,LAX,MIA,0020,NULL,NULL,NULL,NULL,285,281,258,2342,NULL,NULL,0805,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AS,135,NULL,SEA,ANC,0025,NULL,NULL,NULL,NULL,235,215,199,1448,NULL,NULL,0320,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,DL,806,NULL,SFO,MSP,0025,NULL,NULL,NULL,NULL,217,230,206,1589,NULL,NULL,0602,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,NK,612,NULL,LAS,MSP,0025,NULL,NULL,NULL,NULL,181,170,154,1299,NULL,NULL,0526,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,US,2013,NULL,LAX,CLT,0030,NULL,NULL,NULL,NULL,273,249,228,2125,NULL,NULL,0803,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AA,1112,NULL,SFO,DFW,0030,NULL,NULL,NULL,NULL,195,193,173,1464,NULL,NULL,0545,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,DL,1173,NULL,LAS,ATL,0030,NULL,NULL,NULL,NULL,221,203,186,1747,NULL,NULL,0711,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,DL,2336,NULL,DEN,ATL,0030,NULL,NULL,NULL,NULL,173,149,133,1199,NULL,NULL,0523,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AA,1674,NULL,LAS,MIA,0035,NULL,NULL,NULL,NULL,268,266,238,2174,NULL,NULL,0803,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,DL,1434,NULL,LAX,MSP,0035,NULL,NULL,NULL,NULL,214,210,188,1535,NULL,NULL,0609,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,DL,2324,NULL,SLC,ATL,0040,NULL,NULL,NULL,NULL,215,199,176,1590,NULL,NULL,0615,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,DL,2440,NULL,SEA,MSP,0040,NULL,NULL,NULL,NULL,189,198,166,1399,NULL,NULL,0549,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AS,108,NULL,ANC,SEA,0045,NULL,NULL,NULL,NULL,204,194,173,1448,NULL,NULL,0509,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,DL,1560,NULL,ANC,SEA,0045,NULL,NULL,NULL,NULL,210,200,171,1448,NULL,NULL,0515,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,UA,1197,NULL,SFO,IAH,0048,NULL,NULL,NULL,NULL,218,217,199,1635,NULL,NULL,0626,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AS,122,NULL,ANC,PDX,0050,NULL,NULL,NULL,NULL,215,201,187,1542,NULL,NULL,0525,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,DL,1670,NULL,PDX,MSP,0050,NULL,NULL,NULL,NULL,193,186,171,1426,NULL,NULL,0603,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,NK,520,NULL,LAS,MCI,0055,NULL,NULL,NULL,NULL,162,143,128,1139,NULL,NULL,0537,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,AA,371,NULL,SEA,MIA,0100,NULL,NULL,NULL,NULL,338,347,311,2724,NULL,NULL,0938,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,1,1,4,NK,214,NULL,LAS,DFW,0103,NULL,NULL,NULL,NULL,147,147,128,1055,NULL,NULL,0530,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
